ACACIA_BOAT,0,acaciaboat
ACACIA_BUTTON,0,acaciabutton
ACACIA_DOOR,0,"acaciadoor,door:acacia"
ACACIA_FENCE,0,acaciafence
ACACIA_FENCE_GATE,0,acaciafencegate
ACACIA_LEAVES,0,acacialeaves
ACACIA_LOG,0,acacialog
ACACIA_PLANKS,0,acaciaplanks
ACACIA_PRESSURE_PLATE,0,acaciapressureplate
ACACIA_SAPLING,0,acaciasapling
ACACIA_SIGN,0,acaciasign
ACACIA_SLAB,0,"acaciaslab,slab:acacia"
ACACIA_STAIRS,0,"acaciastairs,stairs:acacia"
ACACIA_TRAPDOOR,0,acaciatrapdoor
ACACIA_WALL_SIGN,0,acaciawallsign
ACACIA_WOOD,0,"acaciawood,wood:acacia"
ACTIVATOR_RAIL,0,activatorrail
AIR,0,air
ALLIUM,0,allium
AMETHYST_BLOCK,0,amethystblock
AMETHYST_CLUSTER,0,amethystcluster
AMETHYST_SHARD,0,amethystshard
ANCIENT_DEBRIS,0,ancientdebris
ANDESITE,0,andesite
ANDESITE_SLAB,0,"andesiteslab,slab:andesite"
ANDESITE_STAIRS,0,"andesitestairs,stairs:andesite"
ANDESITE_WALL,0,andesitewall
ANVIL,0,anvil
APPLE,0,apple
ARMOR_STAND,0,armorstand
ARROW,0,arrow
ATTACHED_MELON_STEM,0,attachedmelonstem
ATTACHED_PUMPKIN_STEM,0,attachedpumpkinstem
AXOLOTL_BUCKET,0,axolotlbucket
AXOLOTL_SPAWN_EGG,0,"axolotlspawnegg,egg:axolotl"
AZALEA,0,azalea
AZALEA_LEAVES,0,azalealeaves
AZURE_BLUET,0,azurebluet
BAKED_POTATO,0,bakedpotato
BAMBOO,0,bamboo
BAMBOO_SAPLING,0,bamboosapling
BARREL,0,barrel
BARRIER,0,barrier
BASALT,0,basalt
BAT_SPAWN_EGG,0,"batspawnegg,egg:bat"
BEACON,0,beacon
BEDROCK,0,bedrock
BEE_NEST,0,beenest
BEE_SPAWN_EGG,0,"beespawnegg,egg:bee"
BEEF,0,beef
BEEHIVE,0,beehive
BEETROOT,0,beetroot
BEETROOT_SEEDS,0,beetrootseeds
BEETROOT_SOUP,0,beetrootsoup
BEETROOTS,0,beetroots
BELL,0,bell
BIG_DRIPLEAF,0,bigdripleaf
BIG_DRIPLEAF_STEM,0,bigdripleafstem
BIRCH_BOAT,0,birchboat
BIRCH_BUTTON,0,birchbutton
BIRCH_DOOR,0,"birchdoor,door:birch"
BIRCH_FENCE,0,birchfence
BIRCH_FENCE_GATE,0,birchfencegate
BIRCH_LEAVES,0,birchleaves
BIRCH_LOG,0,birchlog
BIRCH_PLANKS,0,birchplanks
BIRCH_PRESSURE_PLATE,0,birchpressureplate
BIRCH_SAPLING,0,birchsapling
BIRCH_SIGN,0,birchsign
BIRCH_SLAB,0,"birchslab,slab:birch"
BIRCH_STAIRS,0,"birchstairs,stairs:birch"
BIRCH_TRAPDOOR,0,birchtrapdoor
BIRCH_WALL_SIGN,0,birchwallsign
BIRCH_WOOD,0,"birchwood,wood:birch"
BLACK_BANNER,0,blackbanner
BLACK_BED,0,blackbed
BLACK_CANDLE,0,blackcandle
BLACK_CANDLE_CAKE,0,blackcandlecake
